,State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Latrine_premise,Population_x,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Latrine_premise,Population_y
0,Jammu and Kashmir,Kupwara,158438.0,92052,13150,77476,870354.0,23226.0,11496,1114,16304,870354.0
1,Jammu and Kashmir,Badgam,160649.0,74380,6265,133820,753745.0,27190.0,9190,706,24579,753745.0
2,Laddakh,Leh(Ladakh),36920.0,19013,775,32526,133487.0,17474.0,9540,192,16740,133487.0
3,Laddakh,Kargil,40370.0,29591,1412,39078,140802.0,7774.0,5348,93,7579,140802.0
4,Jammu and Kashmir,Punch,132139.0,78622,3171,18103,476835.0,15269.0,4168,122,11497,476835.0
5,Jammu and Kashmir,Rajouri,196070.0,103721,5293,19999,642415.0,17508.0,3256,297,14969,642415.0
6,Jammu and Kashmir,Kathua,181374.0,66564,6348,25755,616435.0,33473.0,9037,1037,22460,616435.0
7,Jammu and Kashmir,Baramula,210543.0,97060,11158,156433,1008039.0,48932.0,16636,2446,45262,1008039.0
8,Jammu and Kashmir,Bandipore,80521.0,43239,5958,56445,392232.0,17555.0,5442,754,16554,392232.0
9,Jammu and Kashmir,Srinagar,4518.0,1734,284,4007,1236829.0,257721.0,59791,5669,252824,1236829.0
10,Jammu and Kashmir,Ganderbal,63788.0,30235,6059,44332,297446.0,13558.0,2982,610,12378,297446.0
11,Jammu and Kashmir,Pulwama,147520.0,63433,6785,92495,560440.0,21703.0,9202,651,19771,560440.0
12,Jammu and Kashmir,Shupiyan,75616.0,25104,4461,44613,266215.0,5272.0,1813,173,4997,266215.0
13,Jammu and Kashmir,Anantnag,207067.0,89660,10560,105190,1078692.0,70666.0,20139,2190,53352,1078692.0
14,Jammu and Kashmir,Kulgam,95952.0,47016,4509,40011,424483.0,25178.0,10574,1057,14729,424483.0
15,Jammu and Kashmir,Doda,122267.0,73360,1956,29344,409936.0,11350.0,2689,329,10600,409936.0
16,Jammu and Kashmir,Ramban,84281.0,43404,1769,15002,283713.0,5341.0,1030,128,4417,283713.0
17,Jammu and Kashmir,Kishtwar,72378.0,37636,2460,14475,230696.0,5993.0,809,41,5597,230696.0
18,Jammu and Kashmir,Udhampur,148664.0,66452,2973,11001,554985.0,34696.0,5898,624,26056,554985.0
19,Jammu and Kashmir,Reasi,95572.0,52469,1433,8601,314667.0,12261.0,4843,134,9661,314667.0
20,Jammu and Kashmir,Jammu,254566.0,97753,12473,62623,1529958.0,248043.0,56057,8433,210588,1529958.0
21,Jammu and Kashmir,Samba,94247.0,28745,3110,24504,318898.0,19989.0,3558,219,14132,318898.0
22,Himachal Pradesh,Chamba,186395.0,70830,4287,90960,519080.0,13836.0,2573,96,12037,519080.0
23,Himachal Pradesh,Kangra,588321.0,148845,8236,378878,1510075.0,39007.0,7411,624,32102,1510075.0
24,Himachal Pradesh,Lahul And Spiti,17434.0,5875,139,13615,31564.0,,,,,
25,Himachal Pradesh,Kullu,167995.0,46198,2015,91053,437903.0,20709.0,3189,269,18762,437903.0
26,Himachal Pradesh,Mandi,431129.0,120716,6898,353525,999777.0,31696.0,5483,221,29160,999777.0
27,Himachal Pradesh,Hamirpur,196116.0,42361,1961,174739,454768.0,15232.0,2619,91,14059,454768.0
28,Himachal Pradesh,Una,185091.0,46828,2591,108833,521173.0,20126.0,4910,966,15013,521173.0
29,Himachal Pradesh,Bilaspur,152458.0,41011,1981,104891,381956.0,11987.0,2025,95,11207,381956.0
30,Himachal Pradesh,Solan,192787.0,47232,3662,133023,580320.0,51509.0,9632,721,46255,580320.0
31,Himachal Pradesh,Sirmaur,171102.0,52870,4790,97357,529855.0,21054.0,4147,210,20232,529855.0
32,Himachal Pradesh,Shimla,279269.0,68141,6423,167002,814010.0,95896.0,17357,1246,86977,814010.0
33,Himachal Pradesh,Kinnaur,44514.0,13042,445,30803,84121.0,,,,,
34,Punjab,Gurdaspur,420860.0,207904,37877,210850,2298323.0,185488.0,76235,9645,158777,2298323.0
35,Punjab,Kapurthala,165433.0,68489,10091,128045,815168.0,95770.0,30646,3926,90119,815168.0
36,Punjab,Jalandhar,330339.0,154268,20481,251057,2193590.0,377791.0,143938,18133,361923,2193590.0
37,Punjab,Hoshiarpur,422673.0,173295,27473,240923,1586625.0,128592.0,44107,6301,114318,1586625.0
38,Punjab,Shahid Bhagat Singh Nagar,183168.0,73450,9891,122356,612310.0,48383.0,17417,3144,41173,612310.0
