,State/UT,District,Population,Households,No_Latrine_Premise,Percent_No_Latrine_Premise
0,Jammu and Kashmir,Kupwara,870354.0,181664.0,89198.0,49.10053725559274
1,Jammu and Kashmir,Badgam,753745.0,187839.0,29491.0,15.700147466713515
2,Laddakh,Leh(Ladakh),133487.0,54394.0,5222.0,9.600323565099092
3,Laddakh,Kargil,140802.0,48144.0,1493.0,3.101113326686607
4,Jammu and Kashmir,Punch,476835.0,147408.0,119843.0,81.30020080321285
5,Jammu and Kashmir,Rajouri,642415.0,213578.0,183037.0,85.7003062113139
6,Jammu and Kashmir,Kathua,616435.0,214847.0,167366.0,77.90008703868334
7,Jammu and Kashmir,Baramula,1008039.0,259475.0,58123.0,22.400231236149917
8,Jammu and Kashmir,Bandipore,392232.0,98076.0,25500.0,26.000244708185487
9,Jammu and Kashmir,Srinagar,1236829.0,262239.0,5508.0,2.100374086234313
10,Jammu and Kashmir,Ganderbal,297446.0,77346.0,21039.0,27.201148087813202
11,Jammu and Kashmir,Pulwama,560440.0,169223.0,57029.0,33.70050170485099
12,Jammu and Kashmir,Shupiyan,266215.0,80888.0,31466.0,38.90070220551874
13,Jammu and Kashmir,Anantnag,1078692.0,277733.0,120537.0,43.40031613096031
14,Jammu and Kashmir,Kulgam,424483.0,121130.0,66743.0,55.10030545694708
15,Jammu and Kashmir,Doda,409936.0,133617.0,94468.0,70.7005845064625
16,Jammu and Kashmir,Ramban,283713.0,89622.0,71608.0,79.90002454754413
17,Jammu and Kashmir,Kishtwar,230696.0,78371.0,59406.0,75.80099781807046
18,Jammu and Kashmir,Udhampur,554985.0,183360.0,147972.0,80.70026178010471
19,Jammu and Kashmir,Reasi,314667.0,107833.0,91443.0,84.80057125369785
20,Jammu and Kashmir,Jammu,1529958.0,502609.0,232206.0,46.20012773348667
21,Jammu and Kashmir,Samba,318898.0,114236.0,76653.0,67.10056374522918
22,Himachal Pradesh,Chamba,519080.0,200231.0,97113.0,48.500481943355425
23,Himachal Pradesh,Kangra,1510075.0,627328.0,216429.0,34.500133901244645
24,Himachal Pradesh,Lahul And Spiti,31564.0,17434.0,3819.0,21.905472066077778
25,Himachal Pradesh,Kullu,437903.0,188704.0,78501.0,41.60007207054434
26,Himachal Pradesh,Mandi,999777.0,462825.0,80069.0,17.300059417706475
27,Himachal Pradesh,Hamirpur,454768.0,211348.0,22615.0,10.700361489108012
28,Himachal Pradesh,Una,521173.0,205217.0,81472.0,39.7004146829941
29,Himachal Pradesh,Bilaspur,381956.0,164445.0,48347.0,29.40010337802913
30,Himachal Pradesh,Solan,580320.0,244296.0,64983.0,26.600108065625307
31,Himachal Pradesh,Sirmaur,529855.0,192156.0,72828.0,37.90045587959783
32,Himachal Pradesh,Shimla,814010.0,375165.0,118928.0,31.700185251822532
33,Himachal Pradesh,Kinnaur,84121.0,44514.0,13711.0,30.801545581165477
34,Punjab,Gurdaspur,2298323.0,606348.0,242540.0,40.00013193743527
35,Punjab,Kapurthala,815168.0,261203.0,43621.0,16.700037901555493
36,Punjab,Jalandhar,2193590.0,708130.0,95598.0,13.50006354765368
37,Punjab,Hoshiarpur,1586625.0,551265.0,199007.0,36.10006076932147
38,Punjab,Shahid Bhagat Singh Nagar,612310.0,231551.0,68308.0,29.500196500986824
39,Punjab,Fatehgarh Sahib,600163.0,174896.0,23961.0,13.70014179855457
40,Punjab,Ludhiana,3498739.0,1036821.0,69468.0,6.700095773523106
